DS_CARGO;NM_CANDIDATO;SQ_CANDIDATO;NR_CANDIDATO;DS_DETALHE_SITUACAO_CAND;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;DS_OCUPACAO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_SIT_TOT_TURNO
VEREADOR;FABIO RODRIGO DE JESUS;1,6E+11;18156;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;26/10/1980;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;PAULO FRANCISCO COELHO SOARES;1,6E+11;22010;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;MÉDICO;06/04/1963;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ELOIZIO ZANARDI;1,6E+11;12862;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;EMPRESÁRIO;02/08/1962;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;FABIO AUGUSTO WOTKOSKI;1,6E+11;22699;DEFERIDO;22;PR;PARTIDO DA REPÚBLICA;EMPRESÁRIO;10/12/1975;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ELISIANA PAES LEITE;1,6E+11;14444;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;PEDAGOGO;07/09/1975;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;SOLANGE SANTIAGO;1,6E+11;12021;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;OUTROS;07/12/1959;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;EZEQUIAS DE SOUZA BARROS;1,6E+11;44744;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;OUTROS;25/07/1963;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO POR QP
VEREADOR;PRISCILA RITA ROCHA BANASZEWSKI;1,6E+11;18015;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;OUTROS;15/03/1985;FEMININO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;MARIA ISABEL CARREIRA;1,6E+11;11222;DEFERIDO;11;PP;PARTIDO PROGRESSISTA;OUTROS;12/04/1948;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;HELIA SANTOS DE OLIVEIRA;1,6E+11;43450;DEFERIDO;43;PV;PARTIDO VERDE;SERVIDOR PÚBLICO ESTADUAL;04/03/1959;FEMININO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;LYZIANE PAULINA DA SILVA;1,6E+11;28864;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;OUTROS;13/06/1990;FEMININO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;SANDRA ELISA DA COSTA ARAUJO;1,6E+11;55177;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;ADMINISTRADOR;28/05/1966;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;TIAGO AUGUSTO GEVERT;1,6E+11;20100;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;VEREADOR;09/04/1986;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;DORVALINO MANOEL PINTO;1,6E+11;70222;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;GERENTE;04/08/1955;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;JOSE CARLOS DOS SANTOS;1,6E+11;77153;DEFERIDO;77;SD;SOLIDARIEDADE;SERVIDOR PÚBLICO MUNICIPAL;04/07/1966;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;SUELI COSTA ROSA;1,6E+11;23728;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;GERENTE;27/06/1960;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;ANA MARIA INACIO LUCIO;1,6E+11;40034;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;AGENTE DE SAÚDE E SANITARISTA;17/03/1951;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;WALDEIR GARCIA DE SOUZA;1,6E+11;23059;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;05/09/1963;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;ROSA OLIVEIRA DA SILVA LEME;1,6E+11;44007;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;EMPRESÁRIO;30/05/1965;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MARIA ROSELENA PETRINI DE MACEDO;1,6E+11;23024;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;GERENTE;11/12/1960;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ANDERSON TEIXEIRA;1,6E+11;43123;DEFERIDO;43;PV;PARTIDO VERDE;MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS;06/05/1977;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;CARLOS MAURO BOBATO;1,6E+11;19000;DEFERIDO;19;PTN;PARTIDO TRABALHISTA NACIONAL;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;03/05/1971;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO POR QP
VEREADOR;ROGÉRIO CAMPOS;1,6E+11;20920;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;VEREADOR;18/07/1978;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO POR QP
VEREADOR;EDSON LUIZ FERREIRA DA CRUZ;1,6E+11;44644;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;EMPRESÁRIO;31/12/1965;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;ANTONIO PEREIRA JUSTINO;1,6E+11;70123;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;VIGILANTE;26/08/1963;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;ANALISE BLANCKENBURG ALVES;1,6E+11;77705;DEFERIDO;77;SD;SOLIDARIEDADE;APOSENTADO (EXCETO SERVIDOR PÚBLICO);26/06/1941;FEMININO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
VEREADOR;VICTOR VERAN TRISTÃO;1,6E+11;36166;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS;16/06/1996;MASCULINO;ENSINO MÉDIO INCOMPLETO;NÃO ELEITO
VEREADOR;ELIANE DE FATIMA SCHIEBEL;1,6E+11;31279;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;POLICIAL MILITAR;19/12/1969;FEMININO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;LUCILEIA DE ANDRADE;1,6E+11;51435;DEFERIDO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;OUTROS;20/03/1981;FEMININO;SUPERIOR INCOMPLETO;NÃO ELEITO
VEREADOR;ISAAC DE OLIVEIRA;1,6E+11;45100;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;ASSISTENTE SOCIAL;30/08/1967;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JORGE AUGUSTO KRUGER;1,6E+11;15333;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;ADVOGADO;18/07/1973;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;FLÁVIO CARLOS DA SILVA;1,6E+11;43147;DEFERIDO;43;PV;PARTIDO VERDE;EMPRESÁRIO;12/05/1968;MASCULINO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
VEREADOR;MARIA GORETI MILITÃO TEIXEIRA;1,6E+11;20018;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ADVOGADO;16/07/1960;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JOSÉ AUGUSTO TULIO FILHO;1,6E+11;12123;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;OUTROS;07/11/1975;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JOEL POMPEU;1,6E+11;27007;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;APOSENTADO (EXCETO SERVIDOR PÚBLICO);18/07/1973;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;CARLOS EDUARDO DE OLIVEIRA BRASIL;1,6E+11;40041;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;OUTROS;29/03/1956;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JOSÉ RENATO SIENO GORSKI;1,6E+11;27827;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;ADVOGADO;27/04/1964;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MARIA FERNANDA BRUNI;1,6E+11;55021;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;16/10/1968;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SUPLENTE
VEREADOR;EDITE CORREA ARRUDA;1,6E+11;44994;INDEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;OUTROS;03/07/1959;FEMININO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;CLAUDIO JUSTINO SPANHOL;1,6E+11;19040;DEFERIDO;19;PTN;PARTIDO TRABALHISTA NACIONAL;ODONTÓLOGO;09/03/1960;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ANA VALERIA HOFFMANN BATISTA;1,6E+11;18123;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;PROFESSOR DE ENSINO MÉDIO;13/09/1970;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MIRIAN DE GODOY BUENO SENEGAGLIA;1,6E+11;45777;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;CANTOR E COMPOSITOR;27/09/1969;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JOSÉ NORONHA NETO;1,6E+11;90416;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;REPRESENTANTE COMERCIAL;16/04/1958;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;LUIZ ANTONIO RIBAS;1,6E+11;28877;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;23/08/1962;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;LUCIANO ROBERTO DA SILVA;1,6E+11;28777;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;ADVOGADO;09/04/1977;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;WEIGLISON MARK LAGO LEAL;1,6E+11;17017;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;EMPRESÁRIO;11/04/1980;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;OSNI SOUZA DE OLIVEIRA;1,6E+11;14300;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;ELETRICISTA E ASSEMELHADOS;01/11/1970;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;JOZELIA RAUPP;1,6E+11;77880;DEFERIDO;77;SD;SOLIDARIEDADE;EMPRESÁRIO;19/03/1973;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
VICE-PREFEITO;PAULO SALAMUNI;1,6E+11;12;DEFERIDO;43;PV;PARTIDO VERDE;VEREADOR;24/10/1960;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;GUSTAVO DE SANTA CRUZ ARRUDA;1,6E+11;20001;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA;19/10/1977;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ROSENEI APARECIDA DE OLIVEIRA;1,6E+11;27227;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;AGENTE ADMINISTRATIVO;06/08/1972;FEMININO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;EDIVALDO ALVES DE MOURA;1,6E+11;31110;DEFERIDO;31;PHS;PARTIDO HUMANISTA DA SOLIDARIEDADE;COMERCIANTE;10/11/1960;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;NÃO ELEITO
VEREADOR;LILIANE SILVA SOARES;1,6E+11;27047;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;EMPRESÁRIO;14/11/1980;FEMININO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;JEFFERSON FERREIRA DA SILVA;1,6E+11;14011;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;COMERCIANTE;17/04/1983;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;EDUARDO JOSÉ FERRAZ;1,6E+11;12710;DEFERIDO;12;PDT;PARTIDO DEMOCRÁTICO TRABALHISTA;OUTROS;13/04/1984;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;JONAS DE ANDRADE LEPRE;1,6E+11;19400;DEFERIDO;19;PTN;PARTIDO TRABALHISTA NACIONAL;EMPRESÁRIO;19/11/1973;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;JOAO ISRAEL BUENO;1,6E+11;27077;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;MASSAGISTA;08/02/1966;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MARIANGELA RAVANELLO NOGUEIRA;1,6E+11;27013;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;PROFESSOR DE ENSINO FUNDAMENTAL;11/12/1980;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ANTONIO JOSÉ PINHEIRO;1,6E+11;51012;DEFERIDO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;ADVOGADO;15/06/1954;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;FILIPE AUGUSTO RAYSER RECALCATTI;1,6E+11;55190;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;EMPRESÁRIO;09/10/1986;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;CARLOS FERNANDES FERREIRA;1,6E+11;40234;DEFERIDO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;EMPRESÁRIO;21/09/1958;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;EDISON LUIZ DOS REIS;1,6E+11;23144;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OCEANÓGRAFO;21/02/1953;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;JOSUE DAVI DOS SANTOS;1,6E+11;17157;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;EMPRESÁRIO;15/11/1972;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;NÃO ELEITO
VEREADOR;GEOVANE ALVES FERNANDES;1,6E+11;14333;DEFERIDO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;VEREADOR;26/12/1963;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO POR MÉDIA
VEREADOR;SIDNEI BUTTINE;1,6E+11;28077;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;COMERCIANTE;07/07/1946;MASCULINO;SUPERIOR INCOMPLETO;NÃO ELEITO
VEREADOR;MARCELO HAGEBOCK GUIMARÃES;1,6E+11;55123;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL;19/10/1984;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;APARECIDA CARLOTA;1,6E+11;27024;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;DONA DE CASA;05/05/1964;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;SUPLENTE
VEREADOR;JULIO CEZAR DE SOUZA;1,6E+11;23022;DEFERIDO;23;PPS;PARTIDO POPULAR SOCIALISTA;OUTROS;05/01/1988;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;ANISIO DA SILVA;1,6E+11;51777;DEFERIDO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA;12/10/1951;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;ALEXANDRE ALBERTO ALVES DA LUZ;1,6E+11;55050;DEFERIDO;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;GARÇOM;21/12/1976;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;OSCALINO DE MELO;1,6E+11;19852;DEFERIDO;19;PTN;PARTIDO TRABALHISTA NACIONAL;APOSENTADO (EXCETO SERVIDOR PÚBLICO);13/04/1950;MASCULINO;ENSINO MÉDIO COMPLETO;ELEITO POR MÉDIA
VEREADOR;CLAUDIA MARA RAMIRO;1,6E+11;36046;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;PROFESSOR DE ENSINO MÉDIO;21/03/1970;FEMININO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;IRANEI DA SILVA FERNANDES;1,6E+11;33333;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;REPRESENTANTE COMERCIAL;13/08/1962;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;EVERTON MARCELINO DE SOUZA;1,6E+11;43900;DEFERIDO;43;PV;PARTIDO VERDE;SERVIDOR PÚBLICO FEDERAL;29/04/1972;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;DORNELES MOTTA DE OLIVEIRA;1,6E+11;27400;DEFERIDO;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;VIGILANTE;20/04/1958;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;LACI ALONCIO DA CUNHA;1,6E+11;70888;DEFERIDO;70;PT do B;PARTIDO TRABALHISTA DO BRASIL;REPRESENTANTE COMERCIAL;02/08/1960;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;WOLMIR CARDOSO DE AGUIAR;1,6E+11;20040;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ADVOGADO;04/01/1973;MASCULINO;SUPERIOR COMPLETO;ELEITO POR MÉDIA
VEREADOR;EDSON PEREIRA RODRIGUES;1,6E+11;45300;DEFERIDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;VEREADOR;12/12/1974;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;SUPLENTE
VEREADOR;GERSON LUIZ DA SILVA;1,6E+11;44944;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;TÉCNICO EM INFORMÁTICA;04/12/1970;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;PRISCILA BOPP SALIM;1,6E+11;44333;INDEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;OUTROS;27/09/1991;FEMININO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;JONATAS SENA RIBEIRO;1,6E+11;20400;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;ADMINISTRADOR;15/01/1993;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;MARIA CRISTINA BOGUCHEVSKI NOGAS;1,6E+11;20011;RENÚNCIA;20;PSC;PARTIDO SOCIAL CRISTÃO;ECONOMISTA;12/12/1970;FEMININO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;ADÃO ROWIECKI;1,6E+11;51001;DEFERIDO;51;PEN;PARTIDO ECOLÓGICO NACIONAL;CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES;16/03/1958;MASCULINO;SUPERIOR COMPLETO;NÃO ELEITO
VEREADOR;SERGIO REIS DOS SANTOS;1,6E+11;17171;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;EMPRESÁRIO;05/06/1985;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;KLAUS OTTOMAR FUCHS;1,6E+11;43320;DEFERIDO;43;PV;PARTIDO VERDE;EMPRESÁRIO;01/11/1983;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;CESAR ANTONIO BOND DUARTE FILHO;1,6E+11;15888;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;SERVIDOR PÚBLICO FEDERAL;16/02/1980;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;FRANCE MARIANE PACHECO DA SILVA;1,6E+11;18190;DEFERIDO;18;REDE;REDE SUSTENTABILIDADE;POLICIAL CIVIL;19/08/1953;FEMININO;ENSINO MÉDIO INCOMPLETO;SUPLENTE
VEREADOR;ANTONIO CEZAR ANTUNES DE OLIVEIRA;1,6E+11;36500;DEFERIDO;36;PTC;PARTIDO TRABALHISTA CRISTÃO;TRABALHADOR DE CONSTRUÇÃO CIVIL;13/05/1976;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;ANTONIO VICENTE DA SILVA;1,6E+11;33030;DEFERIDO;33;PMN;PARTIDO DA MOBILIZAÇÃO NACIONAL;EMPRESÁRIO;15/07/1954;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;SUPLENTE
VEREADOR;SILBERTO CARDOSO;1,6E+11;15001;DEFERIDO;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;PROFESSOR DE ENSINO MÉDIO;04/02/1970;MASCULINO;SUPERIOR COMPLETO;ELEITO POR MÉDIA
VEREADOR;RENALDO DA ROCHA CRUZ;1,6E+11;28018;DEFERIDO;28;PRTB;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;OUTROS;01/04/1973;MASCULINO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;JOSETE DUBIASKI DA SILVA;1,6E+11;13613;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;VEREADOR;18/01/1964;FEMININO;SUPERIOR COMPLETO;ELEITO POR QP
VEREADOR;PLACIDINA ALVES GASPAR;1,6E+11;17172;DEFERIDO;17;PSL;PARTIDO SOCIAL LIBERAL;OUTROS;01/03/1966;FEMININO;ENSINO MÉDIO COMPLETO;NÃO ELEITO
VEREADOR;FLAVIO JOSE DE FREITAS FILHO;1,6E+11;44555;DEFERIDO;44;PRP;PARTIDO REPUBLICANO PROGRESSISTA;OUTROS;17/09/1961;MASCULINO;ENSINO MÉDIO COMPLETO;SUPLENTE
VEREADOR;WALDIR ALVES MUGUET;1,6E+11;77027;DEFERIDO;77;SD;SOLIDARIEDADE;OUTROS;25/07/1960;MASCULINO;SUPERIOR INCOMPLETO;SUPLENTE
VEREADOR;CHARMONIKS MARIA DA GRAÇA;1,6E+11;90009;DEFERIDO;90;PROS;PARTIDO REPUBLICANO DA ORDEM SOCIAL;PEDAGOGO;02/03/1979;FEMININO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;BENTO ELISEO ALEIXO;1,6E+11;20190;DEFERIDO;20;PSC;PARTIDO SOCIAL CRISTÃO;POLICIAL MILITAR;02/04/1977;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;ANDRE CASTELO BRANCO MACHADO;1,6E+11;13111;DEFERIDO;13;PT;PARTIDO DOS TRABALHADORES;BANCÁRIO E ECONOMIÁRIO;16/09/1981;MASCULINO;SUPERIOR COMPLETO;SUPLENTE
VEREADOR;PAULO CEZAR PEREIRA;1,6E+11;55001;RENÚNCIA;55;PSD;PARTIDO SOCIAL DEMOCRÁTICO;ADMINISTRADOR;15/07/1962;MASCULINO;ENSINO MÉDIO COMPLETO;#NULO#
